feature,top_k_count,mean_ap_drop,ap_drop_std_across_folds,top_k_frequency
feature_240,0,0.0,0.0,0.0
feature_241,0,0.0,0.0,0.0
feature_242,0,0.0,0.0,0.0
feature_243,0,0.0,0.0,0.0
feature_256,0,0.0,0.0,0.0
feature_257,0,0.0,0.0,0.0
feature_258,0,0.0,0.0,0.0
feature_259,0,0.0,0.0,0.0
feature_260,0,0.0,0.0,0.0
feature_261,0,0.0,0.0,0.0
feature_262,0,0.0,0.0,0.0
feature_263,0,0.0,0.0,0.0
feature_264,0,0.0,0.0,0.0
feature_265,0,0.0,0.0,0.0
feature_266,0,0.0,0.0,0.0
feature_276,0,0.0,0.0,0.0
feature_284,0,0.0,0.0,0.0
feature_313,0,0.0,0.0,0.0
feature_314,0,0.0,0.0,0.0
feature_315,0,0.0,0.0,0.0
feature_322,0,0.0,0.0,0.0
feature_325,0,0.0,0.0,0.0
feature_326,0,0.0,0.0,0.0
feature_327,0,0.0,0.0,0.0
feature_328,0,0.0,0.0,0.0
feature_329,0,0.0,0.0,0.0
feature_330,0,0.0,0.0,0.0
feature_342,0,0.0,0.0,0.0
feature_347,0,0.0,0.0,0.0
feature_364,0,0.0,0.0,0.0
feature_369,0,0.0,0.0,0.0
feature_370,0,0.0,0.0,0.0
feature_371,0,0.0,0.0,0.0
feature_372,0,0.0,0.0,0.0
feature_373,0,0.0,0.0,0.0
feature_374,0,0.0,0.0,0.0
feature_375,0,0.0,0.0,0.0
feature_378,0,0.0,0.0,0.0
feature_379,0,0.0,0.0,0.0
feature_380,0,0.0,0.0,0.0
feature_381,0,0.0,0.0,0.0
feature_394,0,0.0,0.0,0.0
feature_395,0,0.0,0.0,0.0
feature_396,0,0.0,0.0,0.0
feature_397,0,0.0,0.0,0.0
feature_398,0,0.0,0.0,0.0
feature_399,0,0.0,0.0,0.0
feature_400,0,0.0,0.0,0.0
feature_401,0,0.0,0.0,0.0
feature_402,0,0.0,0.0,0.0
feature_403,0,0.0,0.0,0.0
feature_404,0,0.0,0.0,0.0
feature_414,0,0.0,0.0,0.0
feature_422,0,0.0,0.0,0.0
feature_449,0,0.0,0.0,0.0
feature_450,0,0.0,0.0,0.0
feature_451,0,0.0,0.0,0.0
feature_458,0,0.0,0.0,0.0
feature_461,0,0.0,0.0,0.0
feature_462,0,0.0,0.0,0.0
feature_463,0,0.0,0.0,0.0
feature_464,0,0.0,0.0,0.0
feature_465,0,0.0,0.0,0.0
feature_466,0,0.0,0.0,0.0
feature_478,0,0.0,0.0,0.0
feature_481,0,0.0,0.0,0.0
feature_498,0,0.0,0.0,0.0
feature_501,0,0.0,0.0,0.0
feature_502,0,0.0,0.0,0.0
feature_503,0,0.0,0.0,0.0
feature_504,0,0.0,0.0,0.0
feature_505,0,0.0,0.0,0.0
feature_506,0,0.0,0.0,0.0
feature_507,0,0.0,0.0,0.0
feature_508,0,0.0,0.0,0.0
feature_509,0,0.0,0.0,0.0
feature_512,0,0.0,0.0,0.0
feature_513,0,0.0,0.0,0.0
feature_514,0,0.0,0.0,0.0
feature_515,0,0.0,0.0,0.0
feature_528,0,0.0,0.0,0.0
feature_529,0,0.0,0.0,0.0
feature_530,0,0.0,0.0,0.0
feature_531,0,0.0,0.0,0.0
feature_532,0,0.0,0.0,0.0
feature_533,0,0.0,0.0,0.0
feature_534,0,0.0,0.0,0.0
feature_535,0,0.0,0.0,0.0
feature_536,0,0.0,0.0,0.0
feature_537,0,0.0,0.0,0.0
feature_538,0,0.0,0.0,0.0
feature_085,0,-9.443635466227506e-06,0.00011454101941869393,0.0
feature_472,0,-1.368355040378133e-05,0.002653655699219353,0.0
feature_557,0,-2.0873705104542372e-05,0.004125673746205429,0.0
feature_467,0,-3.03503829660174e-05,0.006166367070279009,0.0
feature_430,0,-3.457151848214419e-05,0.007494219884621721,0.0
feature_324,0,-5.479710056298659e-05,0.0027489844533407346,0.0
feature_350,0,-5.8040770817618806e-05,0.004426003829407867,0.0
feature_252,0,-5.95653464454857e-05,0.0034409639057399444,0.0
feature_435,0,-6.12743280025049e-05,0.0011729884847731017,0.0
feature_164,0,-6.515506406914999e-05,0.002226750634677233,0.0
feature_244,0,-6.853600354858415e-05,0.0008486477037065116,0.0
feature_015,0,-8.670220311216749e-05,0.002328818440481871,0.0
feature_390,0,-0.0001041073570955898,0.0035042640127382046,0.0
feature_333,0,-0.00010661813232691313,0.0051988966116329385,0.0
feature_223,0,-0.00010783892542150144,0.005115254934989977,0.0
feature_201,0,-0.00010841306789488772,0.0032225663414627466,0.0
feature_468,0,-0.00012237616628761144,0.0029880324492559365,0.0
feature_246,0,-0.0001303524322133672,0.0015005810211092259,0.0
feature_253,0,-0.00013504018156687724,0.00852448308189547,0.0
feature_511,0,-0.0001472577715449507,0.0031160607331370735,0.0
feature_177,0,-0.00015184730108788733,0.003010445807616902,0.0
feature_551,0,-0.00015343329877306647,0.003073992114527152,0.0
feature_002,0,-0.0001645331794174198,0.0020966025563063716,0.0
feature_050,0,-0.00016679485281023525,0.0057923479528275545,0.0
feature_216,0,-0.00019724102886733248,0.0050619207553085615,0.0
feature_292,0,-0.00019935949840433343,0.0006252562516757172,0.0
feature_567,0,-0.00020333393923380178,0.0019101073163411818,0.0
feature_413,0,-0.00022325538077428618,0.000923135437569917,0.0
feature_293,0,-0.00025448238101162437,0.00031244936561468817,0.0
feature_004,0,-0.00026169198369683784,0.0023465791456731156,0.0
feature_526,0,-0.00027087872915692603,0.004991573743571024,0.0
feature_564,0,-0.00027920333504221083,0.00183628319947202,0.0
feature_271,0,-0.00028943142121766913,0.0032409148353686073,0.0
feature_559,0,-0.000296456418178026,0.0014174534176075485,0.0
feature_455,0,-0.00030236202846271046,0.0028203794131137403,0.0
feature_166,0,-0.00030367959215608627,0.0034015891529457112,0.0
feature_566,0,-0.00032056882935515,0.0014055828742859488,0.0
feature_203,0,-0.00032276052823039075,0.0056981747892528405,0.0
feature_268,0,-0.0003320574031964229,0.0022668609648013554,0.0
feature_584,0,-0.0003460991240187653,0.0015040082850065097,0.0
feature_303,0,-0.0003559526808404878,0.0014581212508626388,0.0
feature_384,0,-0.0003578854914245866,0.0005453606484549424,0.0
