feature,folds_retained,top_k_count,mean_standardized_coefficient,mean_absolute_coefficient,coefficient_std_across_folds,median_absolute_rank,sign_consistency,retained_frequency,top_k_frequency
feature_004,3,0,-0.28550916838729473,0.28550916838729473,0.08251756674555379,78.0,1.0,1.0,0.0
feature_218,3,0,-0.28518252512877984,0.28518252512877984,0.045017229427578645,103.0,1.0,1.0,0.0
feature_048,3,0,-0.2842540179285717,0.2842540179285717,0.12067018775738726,95.0,1.0,1.0,0.0
feature_497,3,0,-0.25898703134493767,0.2799725356297811,0.2629687719819883,86.0,0.6666666666666667,1.0,0.0
feature_441,3,0,0.27917418424748563,0.27917418424748563,0.12862566932233332,85.0,1.0,1.0,0.0
feature_101,3,0,-0.2762695194723855,0.2762695194723855,0.2250238216846101,99.0,1.0,1.0,0.0
feature_055,3,0,0.27556857752121006,0.27556857752121006,0.17868737344228475,109.0,1.0,1.0,0.0
feature_130,3,0,-0.09236978098506891,0.27555258089372764,0.4001838809171522,90.0,0.6666666666666666,1.0,0.0
feature_167,3,0,-0.2751334545260719,0.2751334545260719,0.15617109133401497,143.0,1.0,1.0,0.0
feature_388,3,0,0.25233041503842585,0.27465611441504906,0.28865874678061637,129.0,0.6666666666666666,1.0,0.0
feature_577,3,0,-0.27407372468456437,0.27407372468456437,0.15735189653968568,141.0,1.0,1.0,0.0
feature_346,3,0,0.27407120673220847,0.27407120673220847,0.030527531504340382,125.0,1.0,1.0,0.0
feature_039,3,0,0.2736152211604794,0.2736152211604794,0.20715169469212938,76.0,1.0,1.0,0.0
feature_366,3,0,-0.27287570744359896,0.27287570744359896,0.11049959529744308,109.0,1.0,1.0,0.0
feature_431,3,0,0.2697980718539598,0.2697980718539598,0.060711119410860624,106.0,1.0,1.0,0.0
feature_067,3,0,-0.2667989409827031,0.2667989409827031,0.19561905456039438,123.0,1.0,1.0,0.0
feature_053,3,0,-0.26611223905959247,0.26611223905959247,0.16093990543053388,100.0,1.0,1.0,0.0
feature_061,3,0,0.2088054172127113,0.2653191668862534,0.2585850417499295,101.0,0.6666666666666666,1.0,0.0
feature_087,3,0,-0.2526786120005204,0.2643967342753825,0.23949107869425118,82.0,0.6666666666666667,1.0,0.0
feature_076,3,0,-0.2622403709441268,0.2622403709441268,0.22201307992086122,147.0,1.0,1.0,0.0
feature_423,3,0,0.1634415416351462,0.2613999772986007,0.279614744648847,136.0,0.6666666666666666,1.0,0.0
feature_295,3,0,0.26126820518852506,0.26126820518852506,0.12270336499239216,119.0,1.0,1.0,0.0
feature_199,3,0,-0.26112257619892926,0.26112257619892926,0.1635817990498935,166.0,1.0,1.0,0.0
feature_225,3,0,-0.2598340898002,0.2598340898002,0.21830004844761952,104.0,1.0,1.0,0.0
feature_032,3,0,-0.2598115138845793,0.2598115138845793,0.12950588750459324,135.0,1.0,1.0,0.0
feature_041,3,0,-0.19606982864421366,0.2583797371582564,0.2605164856559356,155.0,0.6666666666666667,1.0,0.0
feature_057,3,0,-0.2548711249865416,0.2548711249865416,0.1597014460328753,113.0,1.0,1.0,0.0
feature_181,3,0,-0.2530398809645594,0.2530398809645594,0.06707846467079658,95.0,1.0,1.0,0.0
feature_160,3,0,0.2515699515098259,0.2515699515098259,0.10827184124597516,146.0,1.0,1.0,0.0
feature_210,3,0,0.2515537715171854,0.2515537715171854,0.20515203687264177,105.0,1.0,1.0,0.0
feature_460,3,0,0.2508678429290589,0.2508678429290589,0.20571336989206207,173.0,1.0,1.0,0.0
feature_302,3,0,0.20463834139697654,0.2504787605188383,0.238485341460795,104.0,0.6666666666666666,1.0,0.0
feature_522,3,0,0.2497184559050234,0.2497184559050234,0.0669164846829451,121.0,1.0,1.0,0.0
feature_354,3,0,-0.2492970434127062,0.2492970434127062,0.1557376508658878,99.0,1.0,1.0,0.0
feature_309,3,0,0.24833546232855852,0.24833546232855852,0.14075019854207987,177.0,1.0,1.0,0.0
feature_307,3,0,0.24810128259630626,0.24810128259630626,0.1403083412532515,178.0,1.0,1.0,0.0
feature_170,3,0,0.24631347509237175,0.24631347509237175,0.122085408485805,104.0,1.0,1.0,0.0
feature_350,3,0,-0.24538485412104757,0.24538485412104757,0.03437436219937081,155.0,1.0,1.0,0.0
feature_161,3,0,-0.24477780486921286,0.24477780486921286,0.1070768474832167,122.0,1.0,1.0,0.0
feature_251,3,0,-0.20799861782911946,0.24111620606133602,0.26438894108612415,173.0,0.6666666666666667,1.0,0.0
feature_271,3,0,0.24093876212111606,0.24093876212111606,0.1524763420881882,130.0,1.0,1.0,0.0
feature_332,3,0,-0.24044698288479305,0.24044698288479305,0.0833408182036897,144.0,1.0,1.0,0.0
feature_471,3,0,-0.12609866148078905,0.24039850599312332,0.3246554677383931,237.0,0.6666666666666667,1.0,0.0
feature_248,3,0,-0.23895395465894684,0.23895395465894684,0.15707555998688216,121.0,1.0,1.0,0.0
feature_453,3,0,-0.23725119646794965,0.23725119646794965,0.05422667904598105,110.0,1.0,1.0,0.0
feature_389,3,0,-0.20184689548755633,0.23635618133083505,0.2603985238902911,180.0,0.6666666666666667,1.0,0.0
feature_500,3,0,0.2354769730505716,0.2354769730505716,0.19974371823211448,82.0,1.0,1.0,0.0
feature_157,3,0,-0.23383790364995974,0.23383790364995974,0.185530929961483,171.0,1.0,1.0,0.0
feature_083,3,0,-0.1536568441150978,0.2336518986736803,0.25644665604784894,176.0,0.6666666666666667,1.0,0.0
feature_523,3,0,-0.19969851124009963,0.23340979074734367,0.2575475885606475,183.0,0.6666666666666667,1.0,0.0
feature_349,3,0,0.23308399895899268,0.23308399895899268,0.12591129995258749,127.0,1.0,1.0,0.0
feature_582,3,0,-0.1364343675063329,0.23306322476463437,0.2441544482055959,109.0,0.6666666666666667,1.0,0.0
feature_165,3,0,-0.23212574089249075,0.23212574089249075,0.06614815645657068,140.0,1.0,1.0,0.0
feature_573,3,0,-0.23038940181069878,0.23038940181069878,0.042132677493907235,151.0,1.0,1.0,0.0
feature_520,3,0,-0.2288595677232572,0.2288595677232572,0.1588297619467695,124.0,1.0,1.0,0.0
feature_338,3,0,-0.2282254264968624,0.2282254264968624,0.30997356913558705,272.0,1.0,1.0,0.0
feature_104,3,0,-0.22668220464117525,0.22668220464117525,0.1089131643274473,120.0,1.0,1.0,0.0
feature_150,3,0,0.16127844878796876,0.22536631960058742,0.2277357434212994,133.0,0.6666666666666666,1.0,0.0
feature_555,3,0,0.22093976410378768,0.22093976410378768,0.06615009545372912,146.0,1.0,1.0,0.0
feature_487,3,0,-0.21734660949655193,0.21926387953819462,0.21921408340976692,191.0,0.6666666666666667,1.0,0.0
feature_586,3,0,0.2156092230330803,0.2156092230330803,0.14833192483444382,194.0,1.0,1.0,0.0
feature_279,3,0,-0.21505416072515213,0.21505416072515213,0.09330028353082952,139.0,1.0,1.0,0.0
feature_044,3,0,-0.21384636098730117,0.21384636098730117,0.17739387974061746,61.0,1.0,1.0,0.0
feature_351,3,0,0.21273025946376653,0.21273025946376653,0.05684367911344504,178.0,1.0,1.0,0.0
feature_028,3,0,0.2123860796383964,0.2123860796383964,0.17231298480482554,143.0,1.0,1.0,0.0
feature_022,3,0,-0.21228275413223652,0.21228275413223652,0.19613513333565213,210.0,1.0,1.0,0.0
feature_316,3,0,-0.21063975548841843,0.21063975548841843,0.05695785518247796,119.0,1.0,1.0,0.0
feature_128,3,0,-0.21012612762883068,0.21012612762883068,0.16523550674781137,222.0,1.0,1.0,0.0
feature_024,3,0,-0.1823137732114397,0.2096096423076216,0.19469211709885434,154.0,0.6666666666666667,1.0,0.0
feature_175,3,0,0.2091420888438101,0.2091420888438101,0.0584562194120482,131.0,1.0,1.0,0.0
feature_058,3,0,0.07483281232802197,0.20725207408128724,0.237427837752668,149.0,0.6666666666666666,1.0,0.0
feature_300,3,0,-0.20689494857207094,0.20689494857207094,0.04648814588946147,160.0,1.0,1.0,0.0
feature_079,3,0,-0.20055577975310923,0.2062754582022183,0.18112015955760874,133.0,0.6666666666666667,1.0,0.0
feature_547,3,0,0.20235550757992157,0.20235550757992157,0.27913272559367514,303.0,1.0,1.0,0.0
feature_204,3,0,-0.20198831599160327,0.20198831599160327,0.1535933625240976,121.0,1.0,1.0,0.0
feature_045,3,0,0.2019508780776641,0.2019508780776641,0.11343018287063752,184.0,1.0,1.0,0.0
feature_348,3,0,0.14710943691548506,0.20082791640351835,0.19954811396562938,147.0,0.6666666666666666,1.0,0.0
feature_317,3,0,-0.20074911706242568,0.20074911706242568,0.08894909493508503,186.0,1.0,1.0,0.0
feature_446,3,0,0.20028974674154554,0.20028974674154554,0.05225271761569648,138.0,1.0,1.0,0.0
feature_164,3,0,-0.1995532371515377,0.1995532371515377,0.053652086872125894,158.0,1.0,1.0,0.0
feature_382,1,0,0.19938270602859434,0.19938270602859434,,210.0,1.0,0.3333333333333333,0.0
feature_299,3,0,-0.1993782122977397,0.1993782122977397,0.03831123685170837,172.0,1.0,1.0,0.0
feature_589,3,0,0.1787608616940304,0.19856440996615335,0.21616379531124644,203.0,0.6666666666666666,1.0,0.0
feature_046,3,0,0.1973817083285121,0.1973817083285121,0.11123229811671878,175.0,1.0,1.0,0.0
feature_127,3,0,-0.19663593312128022,0.19663593312128022,0.2040962100788645,271.0,1.0,1.0,0.0
feature_035,3,0,-0.19503032916233512,0.19503032916233512,0.05860813490711857,162.0,1.0,1.0,0.0
feature_250,3,0,0.1946206773446292,0.1946206773446292,0.1260958873483951,142.0,1.0,1.0,0.0
feature_119,3,0,-0.14203339819376967,0.19398569645691663,0.19539041232678842,107.0,0.6666666666666667,1.0,0.0
feature_144,3,0,-0.1939798345643662,0.1939798345643662,0.0847349225046758,114.0,1.0,1.0,0.0
feature_071,3,0,0.1929746177702807,0.1929746177702807,0.06720429609781996,233.0,1.0,1.0,0.0
feature_131,3,0,0.19194580722505292,0.19194580722505292,0.1987962261705742,282.0,1.0,1.0,0.0
feature_340,3,0,-0.18855274193840912,0.18855274193840912,0.14740590564750738,122.0,1.0,1.0,0.0
feature_417,3,0,-0.18723034908869507,0.18723034908869507,0.07524640675796546,124.0,1.0,1.0,0.0
feature_456,3,0,-0.18671947473843906,0.18671947473843906,0.17733821167167155,253.0,1.0,1.0,0.0
feature_070,3,0,-0.18638357176562467,0.18638357176562467,0.14122873859829593,189.0,1.0,1.0,0.0
feature_134,3,0,0.1376417537273199,0.1841735305004779,0.20438266539771327,222.0,0.6666666666666666,1.0,0.0
feature_467,3,0,0.183039103578193,0.183039103578193,0.061843760395795616,200.0,1.0,1.0,0.0
feature_100,3,0,-0.12336112113581547,0.18251166218630435,0.23858915429062813,233.0,0.6666666666666667,1.0,0.0
feature_107,3,0,0.12047232713931304,0.18243227905674805,0.18822256241078814,218.0,0.6666666666666666,1.0,0.0
feature_558,3,0,0.18192142697092847,0.18192142697092847,0.05442168792444529,145.0,1.0,1.0,0.0
feature_252,3,0,0.18134529683214443,0.18134529683214443,0.06789105401553296,187.0,1.0,1.0,0.0
feature_080,3,0,-0.17970794594684927,0.17970794594684927,0.09611567766481752,173.0,1.0,1.0,0.0
feature_036,3,0,0.17936446677963358,0.17936446677963358,0.06345722834171275,165.0,1.0,1.0,0.0
feature_034,3,0,-0.17935508786427146,0.17935508786427146,0.06344528897941196,166.0,1.0,1.0,0.0
feature_489,3,0,-0.004503773361115519,0.17878793332078735,0.24119386505479873,166.0,0.6666666666666667,1.0,0.0
feature_162,3,0,-0.17735565000781559,0.17735565000781559,0.10641965301241182,167.0,1.0,1.0,0.0
feature_224,3,0,-0.17658065482104135,0.17658065482104135,0.10109967934935005,188.0,1.0,1.0,0.0
feature_377,3,0,0.12631724319903356,0.17646102364423344,0.18209935783200557,195.0,0.6666666666666666,1.0,0.0
feature_122,3,0,-0.1761123138753202,0.1761123138753202,0.04825067008631033,156.0,1.0,1.0,0.0
feature_068,3,0,-0.15262277048667175,0.1754364494011298,0.16400838805901244,193.0,0.6666666666666667,1.0,0.0
feature_412,3,0,-0.174397899557866,0.174397899557866,0.10402840779924291,183.0,1.0,1.0,0.0
feature_254,3,0,0.17397967230461023,0.17397967230461023,0.03482308754643514,182.0,1.0,1.0,0.0
feature_385,3,0,-0.09948140483764133,0.17371423822467916,0.19554377074200846,195.0,0.6666666666666667,1.0,0.0
feature_118,3,0,-0.11745941291945261,0.17078816099911687,0.20029499001490028,263.0,0.6666666666666667,1.0,0.0
feature_173,3,0,-0.17015450893960135,0.17015450893960135,0.04628760760284323,241.0,1.0,1.0,0.0
feature_331,3,0,0.16894607419614563,0.16894607419614563,0.08939610454098709,169.0,1.0,1.0,0.0
feature_493,3,0,-0.1684825012960847,0.1684825012960847,0.06453269495999,180.0,1.0,1.0,0.0
feature_195,3,0,0.16822236100111457,0.16822236100111457,0.06299675904861007,226.0,1.0,1.0,0.0
feature_524,3,0,0.16791116881459767,0.16791116881459767,0.05864293813822469,211.0,1.0,1.0,0.0
feature_018,3,0,0.1670413225585731,0.1670413225585731,0.1405893422264681,108.0,1.0,1.0,0.0
feature_099,3,0,0.16667396940525406,0.16667396940525406,0.12072895762033209,257.0,1.0,1.0,0.0
feature_025,3,0,0.1655757624541084,0.1655757624541084,0.11157100475410062,175.0,1.0,1.0,0.0
feature_542,3,0,0.16528236259021267,0.16528236259021267,0.22189600276926053,293.0,1.0,1.0,0.0
feature_094,3,0,-0.16487651668380246,0.16487651668380246,0.03752325099202262,201.0,1.0,1.0,0.0
feature_499,3,0,-0.09847729167415364,0.16473013740712486,0.17858830328720737,216.0,0.6666666666666667,1.0,0.0
feature_355,3,0,-0.16467217021974426,0.16467217021974426,0.10210062512665027,241.0,1.0,1.0,0.0
feature_017,3,0,0.060094698148875365,0.16443403101860285,0.18986872565055604,212.0,0.6666666666666666,1.0,0.0
feature_526,3,0,0.1642358031992803,0.1642358031992803,0.032708930643621875,170.0,1.0,1.0,0.0
feature_077,3,0,0.08818599447613477,0.163338980174382,0.17399884011115743,194.0,0.6666666666666666,1.0,0.0
feature_142,3,0,-0.16151592640481593,0.16151592640481593,0.15197428740606275,191.0,1.0,1.0,0.0
feature_390,3,0,-0.1508317984334896,0.16137144539392576,0.15942050389812598,200.0,0.6666666666666667,1.0,0.0
feature_517,1,0,-0.16131311572797521,0.16131311572797521,,249.0,1.0,0.3333333333333333,0.0
feature_272,3,0,-0.1105276597186698,0.1607974326373968,0.16102230095083742,205.0,0.6666666666666667,1.0,0.0
feature_001,3,0,-0.06264042698592144,0.15989325616282982,0.1864571401765895,194.0,0.6666666666666667,1.0,0.0
feature_082,3,0,0.09839686409395636,0.15938490030351812,0.1909862671871688,229.0,0.6666666666666666,1.0,0.0
feature_490,3,0,-0.158932516959151,0.158932516959151,0.04422203828166661,256.0,1.0,1.0,0.0
feature_278,3,0,-0.15868001413585014,0.15868001413585014,0.1488198055592432,209.0,1.0,1.0,0.0
feature_553,3,0,-0.07727035035433764,0.15834467368629448,0.17820803367984162,190.0,0.6666666666666667,1.0,0.0
feature_196,3,0,-0.09610561973962613,0.15758987616300535,0.17139032406151408,157.0,0.6666666666666667,1.0,0.0
feature_245,1,0,-0.15732677028751912,0.15732677028751912,,257.0,1.0,0.3333333333333333,0.0
feature_296,3,0,-0.1571948266720833,0.1571948266720833,0.09080772310034983,215.0,1.0,1.0,0.0
feature_439,3,0,-0.04627876537854825,0.1556573946558171,0.2183594229824188,153.0,0.6666666666666667,1.0,0.0
feature_120,3,0,-0.0560536343637874,0.15481985429980671,0.23118382172434052,286.0,0.6666666666666666,1.0,0.0
feature_576,3,0,0.15271860563158926,0.15271860563158926,0.11924564993590635,196.0,1.0,1.0,0.0
feature_072,3,0,0.1523998946263144,0.1523998946263144,0.05781991787990017,211.0,1.0,1.0,0.0
feature_475,3,0,0.09675803592947137,0.14775332926809695,0.2343838636977597,324.0,0.6666666666666667,1.0,0.0
feature_426,3,0,-0.14734970264736916,0.14734970264736916,0.061869230770629696,238.0,1.0,1.0,0.0
