feature,logistic_top20_frequency,mean_absolute_coefficient,mean_standardized_coefficient,sign_consistency,rf_top20_frequency,mean_ap_drop,ap_drop_std_across_folds,logistic_rank,rf_rank,meets_either_method_60pct_rule,meets_both_methods_60pct_rule,evidence_frequency_sum,mean_rank
feature_218,0.0,0.2183026810967444,-0.19682231333437503,0.9333333333333333,0.0,0.00014498675067854582,0.0026277068691417105,237.0,236.0,False,False,0.0,236.5
feature_034,0.0,0.2133916743749145,-0.21194946005895382,0.9333333333333333,0.0,0.00026044437266102647,0.0031448188067828503,249.0,225.0,False,False,0.0,237.0
feature_043,0.0,0.1979639398612627,-0.059208236306575075,0.5333333333333333,0.0,0.000404376946040802,0.0012085416093214364,271.0,209.0,False,False,0.0,240.0
feature_187,0.0,0.17105170075383117,0.11843512119112125,0.7333333333333333,0.0,0.0008412546295744541,0.0032928850371027906,324.0,159.0,False,False,0.0,241.5
feature_207,0.0,0.1491785553906606,-0.1107287943894423,0.8,0.0,0.0013978261152914487,0.0024125598456575864,370.0,114.0,False,False,0.0,242.0
feature_405,0.0,0.14288251900433066,-0.08233897254455703,0.6,0.0,0.0014436805739226047,0.004054731655845846,378.0,108.0,False,False,0.0,243.0
feature_051,0.0,0.14850387737971807,-0.06323899886631719,0.7333333333333334,0.0,0.001362404025979569,0.0021093134739333446,371.0,116.0,False,False,0.0,243.5
feature_079,0.0,0.14712640332368493,-0.039944587131779584,0.5333333333333333,0.0,0.0013659358523053853,0.005099610702491096,372.0,115.0,False,False,0.0,243.5
feature_408,0.0,0.10514105318385028,0.06103513750854472,0.6666666666666666,0.0,0.002254629146268346,0.005281741117485376,435.0,52.0,False,False,0.0,243.5
feature_318,0.0,0.14928785665666824,-0.03978358042830668,0.5333333333333333,0.0,0.0013099414626121983,0.005229745924372818,369.0,123.0,False,False,0.0,246.0
feature_487,0.0,0.2019778622760193,0.07170280766324752,0.6,0.0,0.00016130951812990034,0.001681434617010951,263.0,232.0,False,False,0.0,247.5
feature_211,0.0,0.15959060615386148,0.06288181990914773,0.5333333333333333,0.0,0.0011023120232297866,0.002434562973560169,349.0,147.0,False,False,0.0,248.0
feature_511,0.0,0.37118690152619904,0.37118690152619904,1.0,0.0,-0.0001472577715449507,0.0031160607331370735,92.0,406.0,False,False,0.0,249.0
feature_436,0.0,0.12102571032758551,-0.11505508329265905,0.8666666666666667,0.0,0.0018244648021704872,0.004499647890566272,417.0,83.0,False,False,0.0,250.0
feature_480,0.0,0.19003665673088427,-0.1459536953618684,0.7333333333333334,0.0,0.00027937877424560333,0.007011532185734066,281.0,221.0,False,False,0.0,251.0
feature_201,0.0,0.3416750429314786,0.3416750429314786,1.0,0.0,-0.00010841306789488772,0.0032225663414627466,106.0,402.0,False,False,0.0,254.0
feature_202,0.0,0.08191511563392263,-0.012331753300301125,0.6666666666666667,0.0,0.0023864184123019217,0.004002935780253163,462.0,47.0,False,False,0.0,254.5
feature_427,0.0,0.16866871494078145,-0.037096389580554424,0.6,0.0,0.0006527958543357284,0.005025371362848917,329.0,181.0,False,False,0.0,255.0
feature_225,0.0,0.10890668037559195,-0.0034042911491850183,0.6666666666666667,0.0,0.0018349420796718104,0.0034909823687718196,431.0,82.0,False,False,0.0,256.5
