feature,logistic_top20_count,logistic_top20_frequency,mean_absolute_coefficient,sign_consistency,rf_positive_top20_count,rf_positive_top20_frequency,mean_ap_drop,logistic_meets_2_of_3,rf_meets_2_of_3,meets_both_methods_2_of_3,temporal_evidence_count_sum
feature_130,0,0.0,0.27555258089372764,0.6666666666666666,0,0.0,-0.0010554018968169886,False,False,False,0
feature_167,0,0.0,0.2751334545260719,1.0,0,0.0,0.0003282478427919018,False,False,False,0
feature_388,0,0.0,0.27465611441504906,0.6666666666666666,0,0.0,2.225187161898623e-06,False,False,False,0
feature_577,0,0.0,0.27407372468456437,1.0,0,0.0,0.0035558616489473997,False,False,False,0
feature_346,0,0.0,0.27407120673220847,1.0,0,0.0,-0.0001696589328941084,False,False,False,0
feature_366,0,0.0,0.27287570744359896,1.0,0,0.0,0.0044050282124793875,False,False,False,0
feature_067,0,0.0,0.2667989409827031,1.0,0,0.0,0.000369846579393224,False,False,False,0
feature_053,0,0.0,0.26611223905959247,1.0,0,0.0,7.311731234339251e-05,False,False,False,0
feature_061,0,0.0,0.2653191668862534,0.6666666666666666,0,0.0,0.000748786127846403,False,False,False,0
feature_087,0,0.0,0.2643967342753825,0.6666666666666667,0,0.0,-0.0007118246357536079,False,False,False,0
feature_076,0,0.0,0.2622403709441268,1.0,0,0.0,-0.0018984234148055861,False,False,False,0
feature_423,0,0.0,0.2613999772986007,0.6666666666666666,0,0.0,-7.868601233455457e-05,False,False,False,0
feature_295,0,0.0,0.26126820518852506,1.0,0,0.0,-0.0002475883529112226,False,False,False,0
feature_199,0,0.0,0.26112257619892926,1.0,0,0.0,-0.0014301288674664408,False,False,False,0
feature_225,0,0.0,0.2598340898002,1.0,0,0.0,0.001318308310087749,False,False,False,0
feature_032,0,0.0,0.2598115138845793,1.0,0,0.0,-0.0015189558808328927,False,False,False,0
feature_041,0,0.0,0.2583797371582564,0.6666666666666667,0,0.0,-0.0006408789627200309,False,False,False,0
feature_057,0,0.0,0.2548711249865416,1.0,0,0.0,0.00015146987024018446,False,False,False,0
feature_181,0,0.0,0.2530398809645594,1.0,0,0.0,-4.805491759349915e-05,False,False,False,0
feature_160,0,0.0,0.2515699515098259,1.0,0,0.0,0.0005703841835287803,False,False,False,0
feature_210,0,0.0,0.2515537715171854,1.0,0,0.0,-0.0007320298921108681,False,False,False,0
feature_460,0,0.0,0.2508678429290589,1.0,0,0.0,-0.00016715629702711364,False,False,False,0
feature_302,0,0.0,0.2504787605188383,0.6666666666666666,0,0.0,-0.00045760781823073193,False,False,False,0
feature_522,0,0.0,0.2497184559050234,1.0,0,0.0,-0.001187586611891309,False,False,False,0
feature_354,0,0.0,0.2492970434127062,1.0,0,0.0,-0.00046847434298116384,False,False,False,0
feature_307,0,0.0,0.24810128259630626,1.0,0,0.0,-0.004444444948560092,False,False,False,0
feature_170,0,0.0,0.24631347509237175,1.0,0,0.0,-0.00041046571143592666,False,False,False,0
feature_350,0,0.0,0.24538485412104757,1.0,0,0.0,-7.223421569612426e-05,False,False,False,0
feature_161,0,0.0,0.24477780486921286,1.0,0,0.0,-0.00029411664249739337,False,False,False,0
feature_271,0,0.0,0.24093876212111606,1.0,0,0.0,-0.0003100034908180352,False,False,False,0
feature_332,0,0.0,0.24044698288479305,1.0,0,0.0,0.00010521859280140238,False,False,False,0
feature_471,0,0.0,0.24039850599312332,0.6666666666666667,0,0.0,-2.383389672802755e-05,False,False,False,0
feature_248,0,0.0,0.23895395465894684,1.0,0,0.0,5.866766406462879e-05,False,False,False,0
feature_453,0,0.0,0.23725119646794965,1.0,0,0.0,-0.00010817696455624041,False,False,False,0
feature_389,0,0.0,0.23635618133083505,0.6666666666666667,0,0.0,-0.00031508718303800465,False,False,False,0
feature_500,0,0.0,0.2354769730505716,1.0,0,0.0,-0.0008465526757966227,False,False,False,0
feature_157,0,0.0,0.23383790364995974,1.0,0,0.0,-0.00012710335338243938,False,False,False,0
feature_083,0,0.0,0.2336518986736803,0.6666666666666667,0,0.0,-0.00037705660131728434,False,False,False,0
feature_523,0,0.0,0.23340979074734367,0.6666666666666667,0,0.0,-0.0017167103244329828,False,False,False,0
feature_349,0,0.0,0.23308399895899268,1.0,0,0.0,-0.0007754690619184026,False,False,False,0
feature_582,0,0.0,0.23306322476463437,0.6666666666666667,0,0.0,-0.00015495869688696924,False,False,False,0
feature_165,0,0.0,0.23212574089249075,1.0,0,0.0,0.0004667457119577781,False,False,False,0
feature_520,0,0.0,0.2288595677232572,1.0,0,0.0,-0.0011630798393686668,False,False,False,0
feature_338,0,0.0,0.2282254264968624,1.0,0,0.0,-0.0006160703045269286,False,False,False,0
feature_104,0,0.0,0.22668220464117525,1.0,0,0.0,1.650025196384438e-05,False,False,False,0
feature_150,0,0.0,0.22536631960058742,0.6666666666666666,0,0.0,-0.0005301550156946629,False,False,False,0
feature_555,0,0.0,0.22093976410378768,1.0,0,0.0,-0.0005231250457487351,False,False,False,0
feature_487,0,0.0,0.21926387953819462,0.6666666666666667,0,0.0,-0.0002723305754757015,False,False,False,0
feature_586,0,0.0,0.2156092230330803,1.0,0,0.0,-0.00042149238729028175,False,False,False,0
feature_279,0,0.0,0.21505416072515213,1.0,0,0.0,-0.00023872243717655483,False,False,False,0
feature_044,0,0.0,0.21384636098730117,1.0,0,0.0,-0.0009413379160512677,False,False,False,0
feature_028,0,0.0,0.2123860796383964,1.0,0,0.0,0.0006234651485864493,False,False,False,0
feature_022,0,0.0,0.21228275413223652,1.0,0,0.0,0.003544300700151163,False,False,False,0
feature_316,0,0.0,0.21063975548841843,1.0,0,0.0,-0.0006957431476541676,False,False,False,0
feature_128,0,0.0,0.21012612762883068,1.0,0,0.0,0.0037730433498392624,False,False,False,0
feature_024,0,0.0,0.2096096423076216,0.6666666666666667,0,0.0,8.235376182529297e-05,False,False,False,0
feature_058,0,0.0,0.20725207408128724,0.6666666666666666,0,0.0,-0.0006016756841206296,False,False,False,0
feature_300,0,0.0,0.20689494857207094,1.0,0,0.0,0.0003484958536044475,False,False,False,0
feature_079,0,0.0,0.2062754582022183,0.6666666666666667,0,0.0,-0.002953405301178937,False,False,False,0
feature_547,0,0.0,0.20235550757992157,1.0,0,0.0,-0.00020725334017485572,False,False,False,0
feature_204,0,0.0,0.20198831599160327,1.0,0,0.0,-0.00016011258947607834,False,False,False,0
feature_045,0,0.0,0.2019508780776641,1.0,0,0.0,-0.0016045156423148525,False,False,False,0
feature_348,0,0.0,0.20082791640351835,0.6666666666666666,0,0.0,-0.001102434466911243,False,False,False,0
feature_317,0,0.0,0.20074911706242568,1.0,0,0.0,-0.0002154130392275471,False,False,False,0
feature_164,0,0.0,0.1995532371515377,1.0,0,0.0,-1.360212927141367e-05,False,False,False,0
feature_382,0,0.0,0.19938270602859434,1.0,0,0.0,-0.00014309478928699096,False,False,False,0
feature_299,0,0.0,0.1993782122977397,1.0,0,0.0,-0.00029157020022760094,False,False,False,0
feature_046,0,0.0,0.1973817083285121,1.0,0,0.0,0.003910339726423867,False,False,False,0
feature_127,0,0.0,0.19663593312128022,1.0,0,0.0,0.001338387293950463,False,False,False,0
feature_035,0,0.0,0.19503032916233512,1.0,0,0.0,0.004431153952553424,False,False,False,0
feature_119,0,0.0,0.19398569645691663,0.6666666666666667,0,0.0,5.97830515876701e-05,False,False,False,0
feature_144,0,0.0,0.1939798345643662,1.0,0,0.0,0.0032346935778735423,False,False,False,0
feature_071,0,0.0,0.1929746177702807,1.0,0,0.0,-0.0005329249167023207,False,False,False,0
feature_340,0,0.0,0.18855274193840912,1.0,0,0.0,-5.2919158416178375e-05,False,False,False,0
feature_417,0,0.0,0.18723034908869507,1.0,0,0.0,0.005876581824686568,False,False,False,0
feature_070,0,0.0,0.18638357176562467,1.0,0,0.0,0.0003252803873487413,False,False,False,0
feature_134,0,0.0,0.1841735305004779,0.6666666666666666,0,0.0,-2.991091778653841e-05,False,False,False,0
feature_467,0,0.0,0.183039103578193,1.0,0,0.0,-0.00037298803079846647,False,False,False,0
feature_100,0,0.0,0.18251166218630435,0.6666666666666667,0,0.0,0.004147442570745371,False,False,False,0
feature_558,0,0.0,0.18192142697092847,1.0,0,0.0,-0.0006628656523683648,False,False,False,0
feature_080,0,0.0,0.17970794594684927,1.0,0,0.0,0.00022758559818876942,False,False,False,0
feature_036,0,0.0,0.17936446677963358,1.0,0,0.0,-0.001215333105298317,False,False,False,0
feature_034,0,0.0,0.17935508786427146,1.0,0,0.0,-1.588931466293734e-05,False,False,False,0
feature_489,0,0.0,0.17878793332078735,0.6666666666666667,0,0.0,0.00032235723945224504,False,False,False,0
feature_162,0,0.0,0.17735565000781559,1.0,0,0.0,0.0002987123192698054,False,False,False,0
feature_224,0,0.0,0.17658065482104135,1.0,0,0.0,-3.574155246641174e-06,False,False,False,0
feature_377,0,0.0,0.17646102364423344,0.6666666666666666,0,0.0,-0.005154789928554352,False,False,False,0
feature_122,0,0.0,0.1761123138753202,1.0,0,0.0,-0.0010552369724565484,False,False,False,0
feature_068,0,0.0,0.1754364494011298,0.6666666666666667,0,0.0,-0.0003548404107643583,False,False,False,0
feature_412,0,0.0,0.174397899557866,1.0,0,0.0,0.00043062749819040765,False,False,False,0
feature_254,0,0.0,0.17397967230461023,1.0,0,0.0,0.0002188353340351419,False,False,False,0
feature_385,0,0.0,0.17371423822467916,0.6666666666666667,0,0.0,-0.00041173215667713063,False,False,False,0
feature_118,0,0.0,0.17078816099911687,0.6666666666666667,0,0.0,-0.002251531832989923,False,False,False,0
feature_173,0,0.0,0.17015450893960135,1.0,0,0.0,0.0004671299485812866,False,False,False,0
feature_331,0,0.0,0.16894607419614563,1.0,0,0.0,-8.295807510107839e-05,False,False,False,0
feature_493,0,0.0,0.1684825012960847,1.0,0,0.0,-0.00048661974084622295,False,False,False,0
feature_195,0,0.0,0.16822236100111457,1.0,0,0.0,-0.00040716247370126677,False,False,False,0
feature_524,0,0.0,0.16791116881459767,1.0,0,0.0,0.00044830119377521085,False,False,False,0
feature_018,0,0.0,0.1670413225585731,1.0,0,0.0,-1.6870327709157475e-05,False,False,False,0
feature_099,0,0.0,0.16667396940525406,1.0,0,0.0,0.00017621461613971968,False,False,False,0
feature_025,0,0.0,0.1655757624541084,1.0,0,0.0,0.000685801132894139,False,False,False,0
feature_542,0,0.0,0.16528236259021267,1.0,0,0.0,0.0001357247802706435,False,False,False,0
feature_094,0,0.0,0.16487651668380246,1.0,0,0.0,-7.87447813364903e-05,False,False,False,0
feature_499,0,0.0,0.16473013740712486,0.6666666666666667,0,0.0,0.00026021527387693925,False,False,False,0
feature_355,0,0.0,0.16467217021974426,1.0,0,0.0,0.0004757843925286122,False,False,False,0
feature_017,0,0.0,0.16443403101860285,0.6666666666666666,0,0.0,-0.0007316997872836257,False,False,False,0
feature_526,0,0.0,0.1642358031992803,1.0,0,0.0,8.236813210314564e-05,False,False,False,0
feature_077,0,0.0,0.163338980174382,0.6666666666666666,0,0.0,-1.927527229641914e-05,False,False,False,0
feature_142,0,0.0,0.16151592640481593,1.0,0,0.0,0.00010517306196443906,False,False,False,0
feature_517,0,0.0,0.16131311572797521,1.0,0,0.0,-9.730665311259249e-06,False,False,False,0
feature_272,0,0.0,0.1607974326373968,0.6666666666666667,0,0.0,0.00010018755867734826,False,False,False,0
