feature,positive_top_k_count,mean_ap_drop,ap_drop_std_across_folds,median_positive_rank,positive_top_k_frequency
feature_169,0,9.070802949038882e-05,0.0003182706052064888,156.5,0.0
feature_111,0,8.851301608279322e-05,0.000153309040986559,145.0,0.0
feature_411,0,8.59513218257335e-05,0.0004041176688100977,156.0,0.0
feature_526,0,8.236813210314564e-05,0.00021397584463694942,169.0,0.0
feature_024,0,8.235376182529297e-05,0.0005696076257159209,109.0,0.0
feature_564,0,7.991439753015192e-05,0.0003532313476928858,173.0,0.0
feature_053,0,7.311731234339251e-05,0.0005190880268888756,127.5,0.0
feature_075,0,7.202556166173203e-05,0.0004013445329332047,141.0,0.0
feature_113,0,6.87102557051966e-05,9.238476774282687e-05,192.0,0.0
feature_003,0,6.854373787418574e-05,0.0005080953741887202,113.0,0.0
feature_119,0,5.97830515876701e-05,0.0012098627602345978,29.0,0.0
feature_248,0,5.866766406462879e-05,0.0006811158614820083,56.0,0.0
feature_557,0,5.778805270472638e-05,0.0007570703551733021,155.0,0.0
feature_319,0,4.505671339351565e-05,0.0005586109357071957,121.0,0.0
feature_092,0,3.66456225608442e-05,0.00012595428730200137,190.5,0.0
feature_442,0,3.066968403626067e-05,0.0007890931107239974,155.5,0.0
feature_345,0,3.0317759628488585e-05,0.0007740648560415251,51.0,0.0
feature_065,0,2.9133574702582416e-05,0.0012877297249508258,22.0,0.0
feature_283,0,2.7698714297939094e-05,0.0003370110235708258,96.0,0.0
feature_475,0,2.0312079978155224e-05,0.0008943049022732918,28.0,0.0
feature_472,0,1.959562855765536e-05,0.000918534042064284,104.0,0.0
feature_104,0,1.650025196384438e-05,0.000709195257016801,104.0,0.0
feature_114,0,1.3180539393372542e-05,2.2829363900484308e-05,213.0,0.0
feature_358,0,1.2937798059765552e-05,2.2408923577579977e-05,214.0,0.0
feature_298,0,1.1614495867408943e-05,0.00036714489586612414,109.0,0.0
feature_521,0,1.0771781906217711e-05,1.8657273549620206e-05,217.0,0.0
feature_339,0,8.278064322191544e-06,0.0010614647051608562,23.0,0.0
feature_158,0,7.434916598823684e-06,1.2877653299199811e-05,223.0,0.0
feature_244,0,6.859350307826991e-06,1.1880743240069568e-05,226.0,0.0
feature_027,0,5.721243458921434e-06,9.984622645458766e-05,193.0,0.0
feature_388,0,2.225187161898623e-06,0.00044265780611483087,147.5,0.0
feature_305,0,1.7865163455347648e-06,0.00038949013878509527,104.0,0.0
feature_093,0,6.362711409968469e-07,0.00019223649551355614,167.0,0.0
feature_005,0,0.0,0.0,,0.0
feature_013,0,0.0,0.0,,0.0
feature_042,0,0.0,0.0,,0.0
feature_049,0,0.0,0.0,,0.0
feature_052,0,0.0,0.0,,0.0
feature_069,0,0.0,0.0,,0.0
feature_074,0,0.0,0.0,,0.0
feature_097,0,0.0,0.0,,0.0
feature_110,0,0.0,0.0,,0.0
feature_141,0,0.0,0.0,,0.0
feature_149,0,0.0,0.0,,0.0
feature_178,0,0.0,0.0,,0.0
feature_179,0,0.0,0.0,,0.0
feature_186,0,0.0,0.0,,0.0
feature_189,0,0.0,0.0,,0.0
feature_190,0,0.0,0.0,,0.0
feature_191,0,0.0,0.0,,0.0
feature_192,0,0.0,0.0,,0.0
feature_193,0,0.0,0.0,,0.0
feature_194,0,0.0,0.0,,0.0
feature_206,0,0.0,0.0,,0.0
feature_209,0,0.0,0.0,,0.0
feature_226,0,0.0,0.0,,0.0
feature_229,0,0.0,0.0,,0.0
feature_230,0,0.0,0.0,,0.0
feature_231,0,0.0,0.0,,0.0
feature_232,0,0.0,0.0,,0.0
feature_233,0,0.0,0.0,,0.0
feature_234,0,0.0,0.0,,0.0
feature_235,0,0.0,0.0,,0.0
feature_236,0,0.0,0.0,,0.0
feature_237,0,0.0,0.0,,0.0
feature_240,0,0.0,0.0,,0.0
feature_241,0,0.0,0.0,,0.0
feature_242,0,0.0,0.0,,0.0
feature_243,0,0.0,0.0,,0.0
feature_249,0,0.0,0.0,,0.0
feature_256,0,0.0,0.0,,0.0
feature_257,0,0.0,0.0,,0.0
feature_258,0,0.0,0.0,,0.0
feature_259,0,0.0,0.0,,0.0
feature_260,0,0.0,0.0,,0.0
feature_261,0,0.0,0.0,,0.0
feature_262,0,0.0,0.0,,0.0
feature_263,0,0.0,0.0,,0.0
feature_264,0,0.0,0.0,,0.0
feature_265,0,0.0,0.0,,0.0
feature_266,0,0.0,0.0,,0.0
feature_276,0,0.0,0.0,,0.0
feature_284,0,0.0,0.0,,0.0
feature_313,0,0.0,0.0,,0.0
feature_314,0,0.0,0.0,,0.0
feature_315,0,0.0,0.0,,0.0
feature_322,0,0.0,0.0,,0.0
feature_325,0,0.0,0.0,,0.0
feature_326,0,0.0,0.0,,0.0
feature_327,0,0.0,0.0,,0.0
feature_328,0,0.0,0.0,,0.0
feature_329,0,0.0,0.0,,0.0
feature_330,0,0.0,0.0,,0.0
feature_342,0,0.0,0.0,,0.0
feature_347,0,0.0,0.0,,0.0
feature_364,0,0.0,0.0,,0.0
feature_369,0,0.0,0.0,,0.0
feature_370,0,0.0,0.0,,0.0
feature_371,0,0.0,0.0,,0.0
feature_372,0,0.0,0.0,,0.0
feature_373,0,0.0,0.0,,0.0
feature_374,0,0.0,0.0,,0.0
feature_375,0,0.0,0.0,,0.0
feature_378,0,0.0,0.0,,0.0
feature_379,0,0.0,0.0,,0.0
feature_380,0,0.0,0.0,,0.0
feature_381,0,0.0,0.0,,0.0
feature_384,0,0.0,0.0,,0.0
feature_387,0,0.0,0.0,,0.0
feature_394,0,0.0,0.0,,0.0
feature_395,0,0.0,0.0,,0.0
feature_396,0,0.0,0.0,,0.0
feature_397,0,0.0,0.0,,0.0
feature_398,0,0.0,0.0,,0.0
feature_399,0,0.0,0.0,,0.0
feature_400,0,0.0,0.0,,0.0
feature_401,0,0.0,0.0,,0.0
feature_402,0,0.0,0.0,,0.0
feature_403,0,0.0,0.0,,0.0
feature_404,0,0.0,0.0,,0.0
feature_414,0,0.0,0.0,,0.0
feature_422,0,0.0,0.0,,0.0
feature_449,0,0.0,0.0,,0.0
feature_450,0,0.0,0.0,,0.0
