feature,folds_retained,top_k_count,mean_standardized_coefficient,mean_absolute_coefficient,coefficient_std,positive_sign_fraction,sign_consistency,retained_frequency,top_k_frequency
feature_352,15,0,-0.3255028049255884,0.3421873180683982,0.23961840432300516,0.06666666666666667,0.9333333333333333,1.0,0.0
feature_201,15,0,0.3416750429314786,0.3416750429314786,0.1817139995199206,1.0,1.0,1.0,0.0
feature_045,15,0,0.340764216586809,0.340764216586809,0.10182395198323976,1.0,1.0,1.0,0.0
feature_548,15,0,-0.3010609488576428,0.33886783107048013,0.23341995871908458,0.13333333333333333,0.8666666666666667,1.0,0.0
feature_122,15,0,-0.33641740505286205,0.33641740505286205,0.15790658472592525,0.0,1.0,1.0,0.0
feature_248,15,0,-0.3355522280126656,0.3355522280126656,0.13979489757283764,0.0,1.0,1.0,0.0
feature_576,15,0,0.3289914061920128,0.33345928410245335,0.16000759219518823,0.9333333333333333,0.9333333333333333,1.0,0.0
feature_520,15,0,-0.3324437914043699,0.3324437914043699,0.1260867013345639,0.0,1.0,1.0,0.0
feature_165,15,0,-0.3310450430770283,0.3310450430770283,0.16411564568339007,0.0,1.0,1.0,0.0
feature_355,15,0,0.330969375449107,0.330969375449107,0.1812416856865685,1.0,1.0,1.0,0.0
feature_486,15,0,0.3306884432888094,0.3306884432888094,0.16201066106488404,1.0,1.0,1.0,0.0
feature_017,15,0,0.3088151007376378,0.3295142581371769,0.19960783632520152,0.9333333333333333,0.9333333333333333,1.0,0.0
feature_555,15,0,-0.2899476034901222,0.32876205708283235,0.22956476169173806,0.2,0.8,1.0,0.0
feature_588,15,0,0.323682425500932,0.323682425500932,0.20038547978677382,1.0,1.0,1.0,0.0
feature_460,15,0,0.3136559132946379,0.3230163494909383,0.18377446754854607,0.9333333333333333,0.9333333333333333,1.0,0.0
feature_386,15,0,-0.32118501284375467,0.32162264980646327,0.16670504808878267,0.06666666666666667,0.9333333333333333,1.0,0.0
feature_473,15,0,0.31727958860754746,0.32071047955920223,0.20239461375411624,0.9333333333333333,0.9333333333333333,1.0,0.0
feature_058,15,0,0.30772548723650495,0.316533632877071,0.215282933561574,0.8666666666666667,0.8666666666666667,1.0,0.0
feature_053,15,0,-0.3153148322706091,0.3153148322706091,0.12115627987143227,0.0,1.0,1.0,0.0
feature_541,15,0,0.31469374339007855,0.31469374339007855,0.1615855597816601,1.0,1.0,1.0,0.0
feature_368,15,0,-0.31060196999907136,0.31060196999907136,0.1839629129765974,0.0,1.0,1.0,0.0
feature_009,15,0,-0.31050968322495376,0.31050968322495376,0.14527673657894732,0.0,1.0,1.0,0.0
feature_283,15,0,-0.29204796695738616,0.30955525495760483,0.17122622176313024,0.13333333333333333,0.8666666666666667,1.0,0.0
feature_066,15,0,0.30319313548110727,0.30319313548110727,0.16371253516779558,1.0,1.0,1.0,0.0
feature_324,15,0,-0.21926673624390033,0.2990504920313308,0.2759893780791538,0.26666666666666666,0.7333333333333334,1.0,0.0
feature_070,15,0,-0.2990324740327002,0.2990324740327002,0.09442350143283666,0.0,1.0,1.0,0.0
feature_557,15,0,0.2985809783271119,0.2985809783271119,0.076647161238565,1.0,1.0,1.0,0.0
feature_155,15,0,-0.29600142884536784,0.29600142884536784,0.15788321182409984,0.0,1.0,1.0,0.0
feature_295,15,0,0.2747044085858222,0.29581293789217966,0.20839957527875394,0.8666666666666667,0.8666666666666667,1.0,0.0
feature_215,15,0,-0.2949753526393662,0.2949753526393662,0.16107633099869073,0.0,1.0,1.0,0.0
feature_213,15,0,0.19627964079518784,0.2947851545587615,0.275736658638903,0.7333333333333333,0.7333333333333333,1.0,0.0
feature_143,15,0,-0.29452089406229537,0.29452089406229537,0.0850518789010948,0.0,1.0,1.0,0.0
feature_127,15,0,-0.2908244633248899,0.29429554140129144,0.14853341328829053,0.06666666666666667,0.9333333333333333,1.0,0.0
feature_028,15,0,-0.27271923927627423,0.293653470436675,0.2001092869993257,0.06666666666666667,0.9333333333333333,1.0,0.0
feature_101,15,0,-0.22505908784301878,0.2925485630464942,0.2645705266229152,0.2,0.8,1.0,0.0
feature_126,15,0,0.2844671437697001,0.2844671437697001,0.1392776904151603,1.0,1.0,1.0,0.0
feature_524,15,0,0.2835872840531828,0.2835872840531828,0.12963294805133563,1.0,1.0,1.0,0.0
feature_454,15,0,-0.28351492530877354,0.28351492530877354,0.06943415695953223,0.0,1.0,1.0,0.0
feature_085,15,0,-0.28206826510685606,0.28206826510685606,0.1572629886423361,0.0,1.0,1.0,0.0
feature_027,15,0,0.2739285008854476,0.2817757478279504,0.1970354092737131,0.9333333333333333,0.9333333333333333,1.0,0.0
feature_145,15,0,-0.27017336794269214,0.2807705251764858,0.2011464147108031,0.13333333333333333,0.8666666666666667,1.0,0.0
feature_433,15,0,0.22968891111977377,0.2789522558729178,0.2327868635338745,0.8,0.8,1.0,0.0
feature_421,15,0,-0.2371915299016531,0.27800598895274803,0.1790232691453609,0.13333333333333333,0.8666666666666667,1.0,0.0
