model,model_label,metric,fold,value
random_forest_balanced,Random Forest,fail_recall,6,0.0
random_forest_balanced,Random Forest,fail_recall,7,0.0
random_forest_balanced,Random Forest,fail_recall,8,0.0
random_forest_balanced,Random Forest,fail_recall,9,0.0
random_forest_balanced,Random Forest,fail_recall,10,0.0
random_forest_balanced,Random Forest,fail_recall,11,0.0
random_forest_balanced,Random Forest,fail_recall,12,0.0
random_forest_balanced,Random Forest,fail_recall,13,0.0
random_forest_balanced,Random Forest,fail_recall,14,0.0
random_forest_balanced,Random Forest,fail_recall,15,0.0
random_forest_balanced,Random Forest,fail_precision,1,0.0
random_forest_balanced,Random Forest,fail_precision,2,0.0
random_forest_balanced,Random Forest,fail_precision,3,0.0
random_forest_balanced,Random Forest,fail_precision,4,0.0
random_forest_balanced,Random Forest,fail_precision,5,0.0
random_forest_balanced,Random Forest,fail_precision,6,0.0
random_forest_balanced,Random Forest,fail_precision,7,0.0
random_forest_balanced,Random Forest,fail_precision,8,0.0
random_forest_balanced,Random Forest,fail_precision,9,0.0
random_forest_balanced,Random Forest,fail_precision,10,0.0
random_forest_balanced,Random Forest,fail_precision,11,0.0
random_forest_balanced,Random Forest,fail_precision,12,0.0
random_forest_balanced,Random Forest,fail_precision,13,0.0
random_forest_balanced,Random Forest,fail_precision,14,0.0
random_forest_balanced,Random Forest,fail_precision,15,0.0
random_forest_balanced,Random Forest,fail_f1,1,0.0
random_forest_balanced,Random Forest,fail_f1,2,0.0
random_forest_balanced,Random Forest,fail_f1,3,0.0
random_forest_balanced,Random Forest,fail_f1,4,0.0
random_forest_balanced,Random Forest,fail_f1,5,0.0
random_forest_balanced,Random Forest,fail_f1,6,0.0
random_forest_balanced,Random Forest,fail_f1,7,0.0
random_forest_balanced,Random Forest,fail_f1,8,0.0
random_forest_balanced,Random Forest,fail_f1,9,0.0
random_forest_balanced,Random Forest,fail_f1,10,0.0
random_forest_balanced,Random Forest,fail_f1,11,0.0
random_forest_balanced,Random Forest,fail_f1,12,0.0
random_forest_balanced,Random Forest,fail_f1,13,0.0
random_forest_balanced,Random Forest,fail_f1,14,0.0
random_forest_balanced,Random Forest,fail_f1,15,0.0
random_forest_balanced,Random Forest,balanced_accuracy,1,0.5
random_forest_balanced,Random Forest,balanced_accuracy,2,0.5
random_forest_balanced,Random Forest,balanced_accuracy,3,0.5
random_forest_balanced,Random Forest,balanced_accuracy,4,0.5
random_forest_balanced,Random Forest,balanced_accuracy,5,0.5
random_forest_balanced,Random Forest,balanced_accuracy,6,0.5
random_forest_balanced,Random Forest,balanced_accuracy,7,0.5
random_forest_balanced,Random Forest,balanced_accuracy,8,0.5
random_forest_balanced,Random Forest,balanced_accuracy,9,0.5
random_forest_balanced,Random Forest,balanced_accuracy,10,0.5
random_forest_balanced,Random Forest,balanced_accuracy,11,0.5
random_forest_balanced,Random Forest,balanced_accuracy,12,0.5
random_forest_balanced,Random Forest,balanced_accuracy,13,0.5
random_forest_balanced,Random Forest,balanced_accuracy,14,0.5
random_forest_balanced,Random Forest,balanced_accuracy,15,0.5
random_forest_balanced,Random Forest,roc_auc,1,0.6907993966817497
random_forest_balanced,Random Forest,roc_auc,2,0.7368024132730014
random_forest_balanced,Random Forest,roc_auc,3,0.7986425339366516
random_forest_balanced,Random Forest,roc_auc,4,0.6858974358974359
random_forest_balanced,Random Forest,roc_auc,5,0.6917735042735043
random_forest_balanced,Random Forest,roc_auc,6,0.7169431875314228
random_forest_balanced,Random Forest,roc_auc,7,0.6910507792860734
random_forest_balanced,Random Forest,roc_auc,8,0.6729512317747612
random_forest_balanced,Random Forest,roc_auc,9,0.7791132478632479
random_forest_balanced,Random Forest,roc_auc,10,0.6773504273504274
random_forest_balanced,Random Forest,roc_auc,11,0.7383107088989442
random_forest_balanced,Random Forest,roc_auc,12,0.735042735042735
random_forest_balanced,Random Forest,roc_auc,13,0.6742081447963801
random_forest_balanced,Random Forest,roc_auc,14,0.7377136752136753
random_forest_balanced,Random Forest,roc_auc,15,0.7318376068376069
random_forest_balanced,Random Forest,average_precision,1,0.16475571421319313
random_forest_balanced,Random Forest,average_precision,2,0.2516779198769356
random_forest_balanced,Random Forest,average_precision,3,0.29647107403817563
random_forest_balanced,Random Forest,average_precision,4,0.148119392729539
random_forest_balanced,Random Forest,average_precision,5,0.16565224487959082
random_forest_balanced,Random Forest,average_precision,6,0.327084457202126
random_forest_balanced,Random Forest,average_precision,7,0.13196107301316884
random_forest_balanced,Random Forest,average_precision,8,0.15056683185354672
random_forest_balanced,Random Forest,average_precision,9,0.23761223530133574
random_forest_balanced,Random Forest,average_precision,10,0.1025063586514039
random_forest_balanced,Random Forest,average_precision,11,0.1993350018459221
random_forest_balanced,Random Forest,average_precision,12,0.17911047670549682
random_forest_balanced,Random Forest,average_precision,13,0.1923561156307823
random_forest_balanced,Random Forest,average_precision,14,0.196535201651697
random_forest_balanced,Random Forest,average_precision,15,0.1529780736585807
random_forest_balanced,Random Forest,pr_auc_trapezoid,1,0.13948686256366652
random_forest_balanced,Random Forest,pr_auc_trapezoid,2,0.22047839381993029
random_forest_balanced,Random Forest,pr_auc_trapezoid,3,0.26442112782734994
random_forest_balanced,Random Forest,pr_auc_trapezoid,4,0.13021098679172985
random_forest_balanced,Random Forest,pr_auc_trapezoid,5,0.13801268761635588
random_forest_balanced,Random Forest,pr_auc_trapezoid,6,0.3189028565979479
random_forest_balanced,Random Forest,pr_auc_trapezoid,7,0.11608247503736728
random_forest_balanced,Random Forest,pr_auc_trapezoid,8,0.12932490241425615
random_forest_balanced,Random Forest,pr_auc_trapezoid,9,0.20632799464565302
random_forest_balanced,Random Forest,pr_auc_trapezoid,10,0.09299584466704841
random_forest_balanced,Random Forest,pr_auc_trapezoid,11,0.18002943169915475
random_forest_balanced,Random Forest,pr_auc_trapezoid,12,0.16219562647394115
random_forest_balanced,Random Forest,pr_auc_trapezoid,13,0.16367471523702107
random_forest_balanced,Random Forest,pr_auc_trapezoid,14,0.16738452492699538
random_forest_balanced,Random Forest,pr_auc_trapezoid,15,0.1335643089002217
