feature,impurity_importance
feature_430,0.002577861895190843
feature_377,0.002567581772252289
feature_426,0.0025649636536746534
feature_215,0.0025432110140219577
feature_227,0.0025362678725943315
feature_100,0.0025303545905503455
feature_405,0.002508293096114298
feature_076,0.0025031956126505676
feature_484,0.0025014163716217323
feature_290,0.0025007965840886702
feature_489,0.0024957668692935095
feature_318,0.0024796238336987084
feature_088,0.0024473077457506155
feature_267,0.0024151473692690904
feature_416,0.0023955033887818923
feature_128,0.002392347540784734
feature_252,0.002383351289362417
feature_356,0.002373540809100719
feature_298,0.002372081071563134
feature_054,0.002371729119927694
feature_163,0.002357983080702043
feature_525,0.0023498940551802505
feature_588,0.002347654468022587
feature_062,0.0023414281477634035
feature_117,0.002332283210368684
feature_287,0.002327666450228279
feature_523,0.0023217473448109587
feature_040,0.0023200385345351756
feature_047,0.002306938365248001
feature_098,0.0023029931067906875
feature_511,0.0022935963463207665
feature_352,0.0022863593666811333
feature_187,0.0022786141255952104
feature_058,0.002272772540573061
feature_446,0.0022621024995618287
feature_571,0.002253790756671871
feature_034,0.0022481808334483553
feature_181,0.002246452282865206
feature_204,0.0022329510575045657
feature_120,0.0022285316164056238
feature_491,0.0022064816644194827
feature_310,0.002195451388649494
feature_184,0.002188261030821656
feature_562,0.002187928959452051
feature_254,0.0021488636711193164
feature_133,0.0021441796945993043
feature_479,0.0021341669013329894
feature_428,0.0021259726075662957
feature_010,0.0021220716566614124
feature_092,0.002114343272866534
feature_286,0.0021137935135554205
feature_017,0.0021099387147995256
feature_541,0.0020991803859693233
feature_338,0.002098292359610127
feature_285,0.002093634482759787
feature_067,0.002088075357248644
feature_392,0.002086539637512062
feature_331,0.002072557698841874
feature_279,0.0020709453109391865
feature_344,0.0020626134456612827
feature_218,0.0020608759889398955
feature_113,0.0020533269196670156
feature_447,0.0020452103059155
feature_111,0.0020368029083209756
feature_099,0.002034893534760744
feature_139,0.002032588322683629
feature_068,0.0020325081228176165
feature_136,0.002030692041704727
feature_549,0.0020228719803281232
feature_115,0.0020122158738823544
feature_497,0.002005937458830527
feature_288,0.001999546350304461
feature_147,0.001997495156938016
feature_050,0.0019903036652046376
feature_467,0.001989813670727017
feature_296,0.0019769838901527114
feature_475,0.001976238940667958
feature_365,0.0019756625870244807
feature_413,0.0019745786742086575
feature_443,0.001966235581941969
feature_162,0.001960691465708932
feature_353,0.0019540378330837383
feature_459,0.001954013187511797
feature_429,0.0019526331274837857
feature_454,0.001950976427988568
feature_134,0.001939991288366216
feature_551,0.001933004197280552
feature_343,0.0019324855177920838
feature_203,0.0019310697487681266
feature_083,0.0019298321594870302
feature_019,0.0019262224176273815
feature_445,0.0019253152681249547
feature_339,0.001920236602125284
feature_444,0.0019193145629633466
feature_321,0.0019174296318825693
feature_547,0.0019060580458876153
feature_145,0.001887202391691257
feature_552,0.0018851133653207746
feature_165,0.001884979146538411
feature_361,0.0018828549341962683
feature_561,0.0018824128719368623
feature_202,0.0018823840093288254
feature_105,0.0018810008869169286
feature_526,0.00188077298521393
feature_207,0.0018792748970482978
feature_294,0.0018790851621173878
feature_560,0.001877449908167032
feature_255,0.0018733590601579028
feature_015,0.0018640751149537514
feature_224,0.0018640232770513333
feature_212,0.0018546429627051403
feature_355,0.0018472627578248967
feature_018,0.001845307151537856
feature_032,0.0018379274648287478
feature_499,0.0018379114320587135
feature_408,0.0018378353163158228
feature_012,0.001833827143951371
feature_585,0.0018300949472092598
feature_419,0.00182887415806852
feature_153,0.0018203142472416067
feature_087,0.0018194011783179993
feature_214,0.001819202781523482
feature_030,0.001817017691802222
feature_453,0.0018105458295653814
feature_349,0.0018101738913512799
feature_308,0.0018085631193510796
feature_273,0.0018060366580969526
feature_557,0.0018028678892838628
feature_002,0.001796174103845514
feature_471,0.0017888361590878649
feature_007,0.0017845960385254758
